Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/ml/classify,230,0,570.0,710.9799778240773,421.2556999991648,8948.162099986803,34.0,0.9321744782198366,0.0,570,670,750,810,970,1200,1700,1800,8900,8900,8900
,Aggregated,230,0,570.0,710.9799778240773,421.2556999991648,8948.162099986803,34.0,0.9321744782198366,0.0,570,670,750,810,970,1200,1700,1800,8900,8900,8900
